Last updated 2009-02-05 18:12|This line just here for the date - Remove if you want!|
iOS iPhone|iPhone|
iOS iPad|iPad|
iOS iPod|iPod|
iOS Apple TV|appletv|
Symbian|Symbian|
BlackBerry|BlackBerry|
WebTV|WebTV|
Nintendo Wii|NINTENDO|
Playstation 3|PLAYSTATION3|
Windows 7|WindowsNT6.1|
Windows Vista|WindowsNT6.0|
Windows XP|WindowsNT5.1|
Windows XP|WindowsXP|
Windows Server 2003|WindowsNT5.2|
Windows 2000|Windows2000|
Windows 2000|WindowsNT5.0|
Windows ME|WindowsME|
Windows ME|Win9x4.90|
Windows 98|Windows98|
Windows 98|Win98|
Windows 95|Windows95|
Windows 95|Win95|
Windows NT 4|WindowsNT4|
Windows NT 4|WinNT|
Windows NT 4|WindowsNT|
Windows 3.1|Win3.1|
Windows CE|WindowsCE|
Windows CE|WinCE|
Windows|Win32|
Windows|Windows|
Mac OS X Lion|MacOSX10_7|
Mac OS X Lion|MacOSX10.7|
Mac OS X Snow Leopard|MacOSX10_6|
Mac OS X Snow Leopard|MacOSX10.6|
Mac OS X Leopard|MacOSX10_5|
Mac OS X Leopard|MacOSX10.5|
Mac OS X Tiger|MacOSX10_4|
Mac OS X Tiger|MacOSX10.4|
Mac OS X Panther|MacOSX10_3|
Mac OS X Panther|MacOSX10.3|
Mac OS X Jaguar|MacOSX10_2|
Mac OS X Jaguar|MacOSX10.2|
Mac OS X Puma|MacOSX10_1|
Mac OS X Puma|MacOSX10.1|
Mac OS X Cheetah|MacOSX10_0|
Mac OS X Cheetah|MacOSX10.0|
Mac OS X|MacOSX|
Mac OS X|Vienna|
Mac OS X|Ensemble2|
Mac|Mac|
Mac|mac|
Linux Debian|Debian|
Linux Ubuntu|Ubuntu|
Linux Suse|Suse|
Linux Suse|SUSE|
Linux CentOS|CentOS|
Linux CentOS|centos|
Linux Fedora|Fedora|
Linux Gentoo|Gentoo|
Linux Red Hat|RedHat|
Linux|Linux|
Linux|linux|
Unix|Unix|
Linux|X11|
Sun Solaris|SunOS|
Sun Solaris|Solaris|
FreeBSD|FreeBSD|
OpenBSD|OpenBSD|
SGI Irix|Irix|
Adobe AIR|AdobeAIR|
